Virgin Islands (United States),16.6,-1
Virgin Islands (United Kingdom),0.8,-1
Vietnam,1.6,-1
Venezuela,18.5,-1
Vanuatu,3.9,-1
United Arab Emirates,16.7,-1
Ukraine,9.9,6.16025
Turks and Caicos Islands (United Kingdom),3.3,-1
Trinidad and Tobago,3.2,33.4775
Togo,0.8,-1
Taiwan,0.04,-1
Syrian Arab Republic,8.2,-1
Switzerland,27.6,0.532438
Sweden,23.1,1.12346
Swaziland,4.8,-1
Suriname,15.9,6.12704
Sudan,6.6,-1
South Africa,9.7,35.9032
Somalia,12.4,-1
Slovenia,15.6,0.905455
Sierra Leone,0.5,-1
Tajikistan,0.4,-1
Senegal,2,-1
Turkmenistan,0.4,-1
São Tomé and Principe,3.4,-1
San Marino,15.6,-1
Tonga,8,-1
Samoa,10.1,3.37139
Saint Vincent and the Grenadines,3.4,36.9498
Saint Martin (France),8.5,-1
Saint Lucia,3.4,27.6581
Uganda,0.8,11.8
Saint Kitts and Nevis,3.4,48.1318
Rwanda,0.5,3.8429
United States,120.5,-1
Tuvalu,1.2,-1
Romania,2.6,1.29449
Réunion (France),19.6,-1
Sri Lanka,2.4,2.25975
Puntland,12.3,-1
Puerto Rico (United States),11.5,-1
Portugal,21.3,0.737325
Poland,2.5,0.74482
Philippines,3.6,7.74603
Peru,2,7.86889
Paraguay,16.7,8.51244
Papua New Guinea,1,-1
Panama,10.8,9.22837
Palestinian Territories (Israel),1.1,-1
Palau,0.5,0
North Korea,0.3,-1
Northern Mariana Islands (United States),2.6,-1
Northern Ireland,11,-1
Nigeria,3.2,-1
Nepal,1.5,2.18923
Pakistan,22.3,3.80581
Myanmar,1.6,2.66216
Morocco,4.8,2.14197
Montenegro,39.1,2.37177
Thailand,15.1,-1
Mongolia,7.9,6.16919
Mexico,12.9,26.1146
Micronesia,0.7,-1
Mauritius,8.3,2.54877
South Sudan,9.6,-1
England and Wales,4.6,-1
Cyprus,34,0.579219
Christmas Island,0,-1
Croatia,13.7,1.09721
Czech Republic,12.5,-1
Fiji,0.5,-1
Djibouti,3.1,-1
Burkina Faso,0.9,-1
Chad,1,-1
Algeria,2.1,1.27381
Chile,12.1,4.24094
Denmark,9.9,1.23752
Cayman Islands (United Kingdom),9.2,-1
Cameroon,2.1,4.1159
Lebanon,31.9,4.02668
Scotland,5.6,-1
El Salvador,12,63.2235
Slovakia,6.5,1.47075
Bahrain,12.8,0.411852
Costa Rica,10,12.0749
Grenada,4.6,9.92388
Montserrat (United Kingdom),5.4,-1
Kenya,1.5,5.03799
Sint Maarten (Netherlands),4.2,-1
Colombia,10.1,25.4345
Aruba (Netherlands),2.6,-1
Macao (China),3.6,-1
Monaco,18.4,-1
Belgium,12.7,-1
American Samoa (United States),0.7,-1
Greece,17.6,0.804323
Belize,10,37.8976
Central African Republic,1.8,-1
Curaçao,2.6,-1
Spain,7.5,0.659022
Azerbaijan,3.6,1.80707
Angola,11.2,-1
Maldives,6.2,7.19665
Bulgaria,8.4,1.43406
Benin,0.3,-1
Cape Verde (Cabo Verde),5.7,-1
Armenia,6.1,2.45448
Bahamas,18.8,30.5749
Libya,13.3,-1
South Korea,0.2,-1
Austria,30,0.795681
